candidate,text
hillary,"go behind the scenes with hillary, raymond braun, and hamilton: an american musical's renée elise goldsberry at the apollo theater in new york."
hillary,no child should have to live in fear of losing her parents to deportation. #fightforfamilies
hillary,"\""we’re going to make it possible for every child to have a good teacher in a good school no matter what zip code you live in.\"" —hillary"
hillary,
hillary,"if you've got friends in new york, make sure they know where to vote tomorrow: hrc.io/nyvote"
hillary,new yorkers know this better than anyone: hillary has what it takes to be president. here are six reasons why.
hillary,hit the doors for hillary in wilmington today at 12:00 p.m.! senator debbie stabenow will be on hand to fire up supporters before we go talk to our neighbors about why hillary's the best choice to move our country forward.
hillary,
hillary,get details and let us know you'll be there: http://hrc.io/1vnzudj
hillary,"our diversity is a strength, not a weakness. and if we stand up for our values—yes, our new york values—instead of turning to division and hate, there's nothing we can't do. if we have each other's backs and lift each other up, we can break down all the barriers holding us back. hrc.io/nyvote"
hillary,"some of the sights on raymond braun's tour of hillary hq: the volunteer center, the view, and \""the h wall.\"
hillary,"on tuesday, new yorkers head to the polls. find your friends in the empire state on facebook here: hrc.io/findfriendsny and make sure they go vote for hillary. ������"
hillary,"\""we cannot let barack obama’s legacy fall into donald trump’s hands. we can’t let all the hard work and progress we have achieved over the last seven and a half years be torn away. we have to move forward together.\"" —hillary"
hillary,cookie stop in kentucky. picked up some tagalongs and samoas before heading across the border to west virginia.
hillary,"when we stand together against the other side's hateful words, we all rise."
hillary,"if we're going to build strong communities and help our kids succeed, we need to respect working parents."
hillary,"\""she’s battle tested, she’s got a dirty uniform, and that’s who you want fighting for your kids’ future.\"
hillary,hillary ha demostrado que ella es la única candidata preparada para enfrentarse a desafíos y lograr resultados.
hillary,donald trump is closer than ever to clinching the gop nomination. there's only one candidate who has more votes.
hillary,"the \""woman card\""? fighting for women's rights is a card we'd play any day."
hillary,"\""whether you support senator sanders or you support me, there’s much more that unites us than divides us. we all agree that wages are too low and inequality is too high. that wall street can never again be allowed to threaten main street. and we should expand social security, not cut or privatize it. we democrats agree that college should be affordable to all and student debt shouldn’t hold anyone back. we democrats agree that every single american should and must have quality, affordable health care.\"" —hillary"
hillary,eight-year-old noah became part of hillary's secret service detail this weekend. here's how.
hillary,a donald j. trump presidency would pull us backward on nearly every issue we care about. we can't let that happen.
hillary,we can't defeat isis with the bigotry and bluster coming from donald j. trump.
hillary,"unions helped build the strongest middle class in the history of the world. today, they're leading the movement to raise the federal minimum wage, which will lift 35 million americans out of poverty. let's get it done."
hillary,na
hillary,"my mother taught me resilience, courage, and the power of love and kindness. that's what kept her going."
hillary,there are too many parents across the country stories like this one. we have to take action to prevent gun violence.
hillary,"student debt is holding people back from life milestones like getting married, buying a house, having kids, and starting a business. let's make college more affordable and help those with existing debt refinance and pay loans back at a lower percentage of their income."
hillary,"“mentiroso,” “fraude”, “xenófobo” y otros cosas que líderes republicanos dicen sobre trump."
hillary,"\""i try to live by the john wesley credo, to do all the good you can to everyone you can for as long as you can. that’s how i was raised.\"" —hillary"
hillary,we should all have access to affordable health insurance. has your family benefited from the children's health insurance program? we want to hear about it—share your chip story here: http://hrc.io/1wku16s
hillary,increíble.
hillary,"after this week, at least trump can say that people stopped talking about his tax returns for a few days."
hillary,el emocionante momento cuando la 'dreamer' lorella praeli tuvo la oportunidad de votar por primera vez.
hillary,lorella praeli: hfa staffer. dreamer. u.s. citizen. 
hillary,
hillary,first time voter.
hillary,"america is a country of diverse beliefs and heritages. that makes us strong, regardless of what donald thinks."
hillary,a statement from president bill clinton and hillary on the passing of muhammad ali:
hillary,"donald j. trump's ideas aren’t just different, they are dangerously incoherent. they’re not even really ideas—just a series of bizarre rants, personal feuds, and outright lies. he is not just unprepared. he is temperamentally unfit to hold an office that requires knowledge, stability, and immense responsibility."
hillary,
hillary,"this is not someone who should ever have the nuclear codes, because it’s not hard to imagine donald trump leading us into a war just because somebody got under his very thin skin. we cannot put the security of our children and grandchildren in donald trump’s hands. we cannot let him roll the dice with america."
hillary,
hillary,"this is a man who said that more countries should have nuclear weapons, including saudi arabia. he believes we can treat the u.s. economy like one of his casinos and default on our debts to the rest of the world, which would cause an economic catastrophe far worse than anything we experienced in 2008. he has said that he would order our military to carry out torture and the murder of civilians who are related to suspected terrorists—even though those are war crimes. he says he doesn’t have to listen to our generals or our admirals, our ambassadors and other high officials, because he has “a very good brain.” he says climate change is a hoax invented by the chinese. he praises dictators like vladimir putin and picks fights with our friends. he says he has foreign policy experience because he ran the miss universe pageant in russia. and to top it off, he believes america is weak. an embarrassment. he called our military a disaster. he said we are a “third-world country.” and he’s been saying things like that for decades."
hillary,
hillary,"those are the words of someone who doesn’t understand america or the world. and they’re the words of someone who would lead us in the wrong direction. because if you really believe america is weak—with our military, our values, our capabilities that no other country comes close to matching—then you don’t know america. and you certainly don’t deserve to lead it."
hillary,weapons of war like those used in orlando and san bernardino have no place on our streets.
